Instructor,Course,Term,Enroll,Evals_Made,Rcmnd_Class,Rcmnd_Instr,Study_Hrs_wk,Avg_Grade_Expected,Avg_Grade_Received
"Jemmott, Colin William",CSE 91 - Perspectives in CSE (B),FA18,7,3,100.00%,100.00%,0.5,N/A,N/A
"Coles, William A.",ECE 123 - Antenna Systems Engineering (A),SP10,7,5,80.00%,100.00%,8.9,A- (3.80),N/A
"Coles, William A.",ECE 123 - Antenna Systems Engineering (A),SP09,7,6,83.30%,100.00%,7.5,B+ (3.33),N/A
"Dayeh, Shadi Ahmad",ECE 135B - Electronic Devices (A),SP13,7,7,100.00%,100.00%,12.5,B+ (3.43),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),FA09,7,7,100.00%,100.00%,11.07,C+ (2.57),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),FA08,7,7,100.00%,100.00%,13.07,B+ (3.50),N/A
"Asbeck, Peter Michael",ECE 139 - SemicndctorDeviceModelng/Desgn (A),SP09,7,8,100.00%,100.00%,6.75,A- (3.71),N/A
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI14,7,3,66.70%,100.00%,4.5,B+ (3.33),N/A
"Fazeli Chaghooshi, Arman",ECE 154C - Communications SystemsIII (A),SP19,7,5,100.00%,100.00%,8.9,A (4.00),N/A
"Javidi, Tara",ECE 154C - Communications SystemsIII (A),SP18,7,3,100.00%,100.00%,5.83,B+ (3.67),N/A
"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),WI18,7,4,100.00%,100.00%,6.5,A (4.00),N/A
"Zhang, Xinyu",ECE 158B - Data Networks II (A),SP18,7,6,100.00%,100.00%,7.5,A (4.00),N/A
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA09,7,4,100.00%,100.00%,5.5,B (3.00),N/A
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA08,7,4,100.00%,100.00%,8,A (4.00),N/A
"Fainman, Yeshaiahu",ECE 184 - Optical Info Proces&Holography (A),WI15,7,4,100.00%,75.00%,5,B+ (3.50),N/A
"Papen, George C.",ECE 185 - Lasers and Modulators (A),SP19,7,5,80.00%,100.00%,11.3,B+ (3.50),N/A
"HAYDEN, MARINA",ECE 1C - MESA Orientation Course (A),SP10,7,6,100.00%,100.00%,0.5,N/A,N/A
"Lau, Silvanus S",ECE 90 - Undergraduate Seminar (A),SP11,7,4,100.00%,100.00%,1,N/A,N/A
"Harrington, Steven Merrill",MAE 155B - Aerospace Engineering Desgn II (B),SP14,7,4,100.00%,100.00%,14.5,A (4.00),N/A
"Xu, Sheng",MAE 166 - Nanomaterials (A),FA16,7,3,66.70%,100.00%,5.17,B+ (3.67),N/A
"Delson, Nathan Joseph",MAE 198 - Directed Group Study (C),SP19,7,3,100.00%,100.00%,10.5,A (4.00),N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),WI10,7,3,100.00%,100.00%,0.5,N/A,N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),SP08,7,5,100.00%,100.00%,0.5,N/A,N/A
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI11,7,4,75.00%,50.00%,1.17,N/A,N/A
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP12,7,4,100.00%,100.00%,7.83,N/A,N/A
"Snoeren, Alex C.",CSE 121 - Oper Systms:Architc&Implementn (A),WI10,8,7,71.40%,85.70%,12.5,B (3.29),N/A
"Dahlstrom, Dana B.",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SU08,8,6,83.30%,100.00%,12.17,B- (2.83),N/A
"Taylor, Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP09,8,8,100.00%,100.00%,15.5,A- (3.83),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP10,8,5,100.00%,80.00%,10.9,B+ (3.60),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP09,8,8,100.00%,100.00%,15.5,A- (3.83),N/A
"Engel, Wolfgang F.",CSE 190 - Topics/Computer Sci & Engineer (E),WI11,8,3,100.00%,100.00%,9.83,B+ (3.67),N/A
"Bellare, Mihir",CSE 191 - Semnr/Computer Sci & Engineer (A),SP15,8,6,100.00%,100.00%,5.7,A (4.00),N/A
"Minnes Kemp, Mor Mia",CSE 191 - Semnr/Computer Sci & Engineer (B),WI16,8,3,100.00%,100.00%,6.5,N/A,N/A
"Minnes Kemp, Mor Mia",CSE 191 - Semnr/Computer Sci & Engineer (C),FA16,8,3,100.00%,100.00%,5.5,N/A,N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),SP15,8,7,100.00%,71.40%,0.5,A (4.00),N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),SP11,8,3,100.00%,100.00%,1.17,N/A,N/A
"Gupta, Rajesh K.",CSE 87 - Freshman Seminar (C),FA07,8,8,87.50%,100.00%,1,A (4.00),N/A
"Simon, Elizabeth A",CSE 90 - Undergraduate Seminar (A),SP10,8,5,100.00%,100.00%,2.1,N/A,N/A
"Langlois, Marina",CSE 91 - Perspectives in CSE (A),FA17,8,4,100.00%,100.00%,4.5,B+ (3.50),N/A
"Yu, Paul K L",ECE 135A - Semiconductor Physics (A),WI08,8,8,100.00%,87.50%,7.5,B (3.25),N/A
"Wieder, Harry H",ECE 135B - Electronic Devices (A),WI10,8,4,100.00%,75.00%,9,B+ (3.33),N/A
"Yu, Paul K L",ECE 135B - Electronic Devices (A),WI10,8,4,100.00%,100.00%,9.5,B+ (3.33),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),SP11,8,6,100.00%,100.00%,11.17,B (3.20),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),SP09,8,9,88.90%,100.00%,10.5,B+ (3.50),N/A
"Fullerton, Eric E",ECE 146 - Introductn/Magnetic Recording (A),FA10,8,4,100.00%,100.00%,7,B+ (3.50),N/A
"Fullerton, Eric E",ECE 146 - Introductn/Magnetic Recording (A),FA08,8,7,100.00%,100.00%,6.5,B+ (3.43),N/A
"Fullerton, Eric E",ECE 146 - Introductn/Magnetic Recording (A),FA07,8,5,100.00%,100.00%,10.1,A (4.00),N/A
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI19,8,5,80.00%,80.00%,8.5,B+ (3.40),N/A
"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),WI19,8,3,100.00%,100.00%,8.5,B+ (3.67),N/A
"Balakrishnannairsa, Manoj",ECE 158B - Data Networks II (A),SP08,8,8,100.00%,100.00%,7.75,A- (3.86),N/A
"Masry, Elias",ECE 159A - Queuing Systems: Fundamentals (A),FA07,8,8,100.00%,100.00%,8.75,B (3.13),N/A
"Kreutz-Delgado, Kenneth",ECE 175B - Prob Reasoning & Graphical Mod (A),SP11,8,4,100.00%,100.00%,8,A (4.00),N/A
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA13,8,6,100.00%,100.00%,9.5,B (3.17),N/A
"Fainman, Yeshaiahu",ECE 184 - Optical Info Proces&Holography (A),WI10,8,4,100.00%,100.00%,8.5,A (4.00),N/A
"Fainman, Yeshaiahu",ECE 184 - Optical Info Proces&Holography (A),WI09,8,9,100.00%,88.90%,9.25,B+ (3.56),N/A
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (E),WI16,8,7,100.00%,100.00%,2.21,A (4.00),N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (A),SP10,8,6,100.00%,100.00%,2.9,N/A,N/A
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI17,8,5,100.00%,100.00%,1,N/A,N/A
"Snoeren, Alex C.",CSE 121 - Oper Systms:Architc&Implementn (A),WI09,9,7,100.00%,100.00%,7.07,B (3.29),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP18,9,3,100.00%,100.00%,13.83,B+ (3.67),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP15,9,8,100.00%,100.00%,12.5,B+ (3.38),N/A
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),SP09,9,9,100.00%,100.00%,9.5,B+ (3.50),N/A
"Bafna, Vineet",CSE 182 - Biological Databases (A),SP18,9,5,50.00%,50.00%,10,C (2.25),N/A
"Bafna, Vineet",CSE 182 - Biological Databases (A),FA12,9,6,83.30%,100.00%,5.17,A- (3.83),N/A
"Belongie, Serge J.",CSE 190 - Topics/Computer Sci & Engineer (A),WI09,9,10,100.00%,100.00%,8.3,A (4.00),N/A
"Halicioglu, Daniel T",CSE 191 - Semnr/Computer Sci & Engineer (A),WI18,9,4,100.00%,100.00%,1.83,N/A,N/A
"Rhodes, Neil Campbell",CSE 20 - Intro/Discrete Mathematics (A),S215,9,3,50.00%,100.00%,6.5,B (3.00),N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),SP12,9,6,83.30%,66.70%,0.5,N/A,N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),SP08,9,8,100.00%,100.00%,0.75,A (4.00),N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (B),WI15,9,3,66.70%,66.70%,0.5,N/A,N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (B),SP13,9,3,100.00%,100.00%,0.5,A (4.00),N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (B),WI12,9,4,100.00%,100.00%,0.5,N/A,N/A
"Simon, Elizabeth A",CSE 87 - Freshman Seminar (B),SP09,9,6,100.00%,100.00%,0.83,N/A,N/A
"Howden, William E.",CSE 87 - Freshman Seminar (C),SP16,9,4,100.00%,100.00%,0.5,N/A,N/A
"Tiefenbruck, Janine LoBue",CSE 91 - Perspectives in CSE (B),FA17,9,6,100.00%,100.00%,2.5,N/A,N/A
"Coles, William A.",ECE 123 - Antenna Systems Engineering (A),SP11,9,5,100.00%,60.00%,11.7,A- (3.80),N/A
"Yu, Paul K L",ECE 135A - Semiconductor Physics (A),FA09,9,9,77.80%,66.70%,7.83,B (3.14),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),SP10,9,7,100.00%,85.70%,14.79,B+ (3.50),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),SP08,9,9,100.00%,100.00%,10.28,B+ (3.57),N/A
"de Oliveira, Mauricio",ECE 148 - Intro to Autonomous Vehicles (B),SP19,9,7,100.00%,83.30%,7.64,A- (3.86),N/A
"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (B),SP19,9,7,100.00%,100.00%,7.64,A- (3.86),N/A
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI13,9,5,80.00%,100.00%,11.3,A- (3.75),N/A
"Kreutz-Delgado, Kenneth",ECE 175 - Elements/Machine Intelligence (A),SP09,9,9,100.00%,100.00%,8.5,B+ (3.67),N/A
"Kreutz-Delgado, Kenneth",ECE 175A - Elements/Machine Intelligence (A),SP09,9,9,100.00%,100.00%,8.5,B+ (3.67),N/A
"Papen, George C.",ECE 185 - Lasers and Modulators (A),SP13,9,3,100.00%,100.00%,12.5,B+ (3.67),N/A
"Hayden, Marina Calvet",ECE 1B - MESA Orientation Course (A),WI11,9,6,100.00%,100.00%,0.83,A (4.00),N/A
"HAYDEN, MARINA",ECE 1C - MESA Orientation Course (A),SP09,9,7,100.00%,100.00%,0.5,N/A,N/A
"Carreira Pedro, Hugo T",MAE 101D - Intermediate Heat Transfer (A),SP18,9,4,100.00%,100.00%,4,B (3.25),N/A
"Anderegg, Francois",MAE 117A - Elementary Plasma Physics (A),SP19,9,5,100.00%,100.00%,5.7,B (3.20),N/A
"Harrington, Steven Merrill",MAE 155B - Aerospace Engineering Desgn II (B),SP17,9,4,100.00%,100.00%,14,A (4.00),N/A
"Olevsky, Eugene",MAE 165 - Fatige&Failure Anlys/Eng Comp (A),SU08,9,6,100.00%,100.00%,7.5,B+ (3.67),N/A
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (C),WI19,9,6,100.00%,100.00%,1.17,A (4.00),N/A
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (C),SP14,9,9,100.00%,100.00%,1.83,A (4.00),N/A
"Van Den Einde, Yael Dahlia",MAE 7 - Spatial Visualization (C),SP14,9,6,100.00%,100.00%,3.17,N/A,N/A
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (D),WI19,9,7,100.00%,100.00%,0.5,A (4.00),N/A
"Gibson, Carl H.",MAE 87 - Freshman Seminar (B),WI11,9,7,85.70%,85.70%,0.83,A (4.00),N/A
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP18,9,4,100.00%,100.00%,1.83,A (4.00),N/A
"Freund, Yoav",CSE 103 - Practical Intro/Prob & Stats (A),FA08,10,8,75.00%,62.50%,6.75,B+ (3.38),N/A
"Krueger, Ingolf",CSE 112 - Software Engineerng (A),FA08,10,10,80.00%,100.00%,6.7,B+ (3.38),N/A
"Taylor, Michael",CSE 141L - Project/Computer Architecture (A),SP08,10,9,55.60%,77.80%,14.5,A- (3.75),N/A
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI16,10,5,80.00%,60.00%,13.3,B (3.00),N/A
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI15,10,5,80.00%,60.00%,16.9,B (3.00),N/A
"Bafna, Vineet",CSE 182 - Biological Databases (A),FA08,10,9,100.00%,100.00%,9.83,B+ (3.63),N/A
"Wang, Wei",CSE 184 - Computational Molecular Biol. (A),WI10,10,3,33.30%,33.30%,6.5,B (3.00),N/A
"Belongie, Serge J.",CSE 190 - Topics/Computer Sci & Engineer (A),SP11,10,5,100.00%,100.00%,15.3,A (4.00),N/A
"Belongie, Serge J.",CSE 190 - Topics/Computer Sci & Engineer (A),WI10,10,8,100.00%,87.50%,11,A (4.00),N/A
"Cottrell, Garrison W",CSE 190 - Topics/Computer Sci & Engineer (A),FA09,10,9,77.80%,100.00%,6.94,A- (3.86),N/A
"Swanson, Steven James",CSE 190 - Topics/Computer Sci & Engineer (F),SP15,10,4,100.00%,100.00%,7,A (4.00),N/A
"Halicioglu, Daniel T",CSE 191 - Semnr/Computer Sci & Engineer (B),SP18,10,3,100.00%,100.00%,0.5,N/A,N/A
"Pasquale, Joseph",CSE 4GS - Mathematical Beauty in Rome (A),S118,10,4,100.00%,100.00%,3.5,A (4.00),N/A
"Pasquale, Joseph",CSE 6GS - Mathematicl Beauty in Rome-Lab (A),S118,10,4,100.00%,100.00%,3.5,A (4.00),N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),WI11,10,4,100.00%,75.00%,0.5,N/A,N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),WI10,10,7,57.10%,57.10%,0.79,N/A,N/A
"Simon, Elizabeth A",CSE 87 - Freshman Seminar (B),WI10,10,9,100.00%,100.00%,2.06,A (4.00),N/A
"Simon, Elizabeth A",CSE 90 - Undergraduate Seminar (B),WI11,10,8,100.00%,100.00%,2.17,A (4.00),N/A
"Rao, Ramesh R",ECE 109 - Engineering Probability&Stats (A),FA09,10,13,50.00%,91.70%,6.65,B (3.08),N/A
"Lau, Silvanus S",ECE 134 - Electrnc Materls Sci/Integ Cir (A),WI09,10,9,88.90%,100.00%,2.94,B (3.00),N/A
"Dayeh, Shadi Ahmad",ECE 135B - Electronic Devices (A),WI18,10,4,100.00%,75.00%,5.5,B (3.00),N/A
"Hildebrand, John A",ECE 145AL - Acoustics Laboratory (A),FA12,10,4,100.00%,100.00%,8,A- (3.75),N/A
"Hildebrand, John A",ECE 145BL - Acoustics Lab (A),WI19,10,5,75.00%,100.00%,6,A (4.00),N/A
"Hildebrand, John A",ECE 145BL - Acoustics Lab (A),WI15,10,3,100.00%,100.00%,7.83,A (4.00),N/A
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA18,10,3,100.00%,100.00%,5.83,B (3.00),N/A
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI18,10,5,100.00%,100.00%,6.9,A- (3.75),N/A
"Masry, Elias",ECE 159B - Queuing Syst:ComptrSys&DataNet (A),WI09,10,12,100.00%,91.70%,7.33,B+ (3.64),N/A
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP18,10,5,100.00%,100.00%,6.5,B+ (3.60),N/A
"Fainman, Yeshaiahu",ECE 184 - Optical Info Proces&Holography (A),WI08,10,7,100.00%,100.00%,6.5,B+ (3.33),N/A
"Guest, Clark C",ECE 184 - Optical Info Proces&Holography (A),WI13,10,6,83.30%,83.30%,7.83,B (3.00),N/A
"Papen, George C.",ECE 185 - Lasers and Modulators (A),SP10,10,5,100.00%,100.00%,8.1,B+ (3.50),N/A
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),FA08,10,10,100.00%,88.90%,14.1,A- (3.70),N/A
"HAYDEN, MARINA",ECE 1B - MESA Orientation Course (A),WI10,10,5,100.00%,100.00%,0.9,N/A,N/A
"Eldon, John",ECE 5 - Intro to ECE (B),S216,10,6,100.00%,100.00%,12.9,A (4.00),N/A
"Gilja, Vikash",ECE 5 - Intro to ECE (B),S216,10,6,100.00%,100.00%,12.9,A (4.00),N/A
"Hall, Drew A.",ECE 5 - Intro to ECE (B),S216,10,6,100.00%,100.00%,12.9,A (4.00),N/A
"Nguyen, Truong Quang",ECE 5 - Intro to ECE (B),S216,10,6,100.00%,100.00%,12.9,A (4.00),N/A
"Yu, Paul K L",ECE 87 - Freshman Seminar (A),SP10,10,7,100.00%,85.70%,0.5,A (4.00),N/A
"Seshadri, Kalyanasundaram",MAE 101C - Heat Transfer (A),SP15,10,5,100.00%,75.00%,7,B (3.25),N/A
"Carreira Pedro, Hugo T",MAE 101D - Intermediate Heat Transfer (A),SP19,10,6,100.00%,100.00%,7.17,C+ (2.67),N/A
"Bahadori, Mohammad Yousef",MAE 104 - Aerodynamics (A),S214,10,6,100.00%,100.00%,6.9,B+ (3.40),N/A
"Harrington, Steven Merrill",MAE 155B - Aerospace Engineering Desgn II (B),SP16,10,3,100.00%,100.00%,14.5,A (4.00),N/A
"Van Den Einde, Yael Dahlia",MAE 7 - Spatial Visualization (B),WI16,10,9,88.90%,100.00%,1.17,A (4.00),N/A
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI16,10,8,100.00%,71.40%,0.5,A (4.00),N/A
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI15,10,7,100.00%,85.70%,0.79,A (4.00),N/A
"Anderson, Mark Ronald",MAE 92A - Design Competitn/Fly Aircraft (A),SP14,10,4,100.00%,100.00%,3.83,N/A,N/A
"Anderson, James W.",CSE 120 - Princ/Computer Operating Systm (A),SU10,11,5,60.00%,60.00%,18.5,B (3.00),N/A
"Dahlstrom, Dana B.",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SU09,11,4,100.00%,100.00%,8.5,B (3.25),N/A
"Chu, Isaac Y",CSE 140L - Digital Systems Laboratory (A),SU07,11,5,100.00%,100.00%,4.5,A (4.00),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP16,11,4,100.00%,100.00%,13,B (3.25),N/A
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI13,11,5,80.00%,100.00%,13.7,B+ (3.60),N/A
"Bansal, Vikas",CSE 182 - Biological Databases (C),SP18,11,6,83.30%,66.70%,8.83,B (3.17),N/A
"Weibel, Nadir",CSE 190 - Topics/Computer Sci & Engineer (D),WI15,11,4,100.00%,100.00%,11.5,A (4.00),N/A
"Impagliazzo, Russell",CSE 191 - Semnr/Computer Sci & Engineer (A),SP19,11,3,100.00%,100.00%,3.83,N/A,N/A
